I, [2019-05-28T10:51:22.352631 #6736]  INFO -- Kitchen: -----> Starting Kitchen (v1.24.0)
E, [2019-05-28T10:51:22.353040 #6736] ERROR -- Kitchen: ------Exception-------
E, [2019-05-28T10:51:22.353093 #6736] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2019-05-28T10:51:22.353125 #6736] ERROR -- Kitchen: Message: Kitchen YAML file /Users/tech-a11/Documents/Eng32/Chef/CookBooks/Chef_CI/.kitchen.yml does not exist.
E, [2019-05-28T10:51:22.353155 #6736] ERROR -- Kitchen: ----------------------
E, [2019-05-28T10:51:22.353186 #6736] ERROR -- Kitchen: ------Backtrace-------
E, [2019-05-28T10:51:22.353211 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2019-05-28T10:51:22.353290 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:152:in `data'
E, [2019-05-28T10:51:22.353316 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:131:in `suites'
E, [2019-05-28T10:51:22.353338 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2019-05-28T10:51:22.353360 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2019-05-28T10:51:22.353381 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:117:in `instances'
E, [2019-05-28T10:51:22.353402 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2019-05-28T10:51:22.353424 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2019-05-28T10:51:22.353445 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/test.rb:40:in `block in call'
E, [2019-05-28T10:51:22.353466 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2019-05-28T10:51:22.353487 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/test.rb:38:in `call'
E, [2019-05-28T10:51:22.353508 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:52:in `perform'
E, [2019-05-28T10:51:22.353529 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:245:in `test'
E, [2019-05-28T10:51:22.353551 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2019-05-28T10:51:22.353572 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2019-05-28T10:51:22.353593 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2019-05-28T10:51:22.353614 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2019-05-28T10:51:22.353636 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `block in <top (required)>'
E, [2019-05-28T10:51:22.353657 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2019-05-28T10:51:22.353678 #6736] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `<top (required)>'
E, [2019-05-28T10:51:22.353699 #6736] ERROR -- Kitchen: /usr/local/bin/kitchen:306:in `load'
E, [2019-05-28T10:51:22.353720 #6736] ERROR -- Kitchen: /usr/local/bin/kitchen:306:in `<main>'
E, [2019-05-28T10:51:22.353740 #6736] ERROR -- Kitchen: ----End Backtrace-----
